name, size, width, height
P_KI_Abaiang_Island_l8.jpg,"(1089, 1105)",1105,1089
P_KI_Abemama_Atoll_l64.jpg,"(822, 851)",851,822
P_KI_Abemama_Atoll_l8.jpg,"(822, 851)",851,822
P_KI_Aranuka_Atoll_l64.jpg,"(598, 409)",409,598
P_KI_Aranuka_Atoll_l8.jpg,"(598, 409)",409,598
P_KI_Beru_Atoll_l64.jpg,"(498, 561)",561,498
P_KI_Beru_Atoll_l8.jpg,"(498, 561)",561,498
P_KI_Butaritari_Atoll_l64.jpg,"(1250, 1099)",1099,1250
P_KI_Butaritari_Atoll_l8.jpg,"(1250, 1099)",1099,1250
P_KI_Maiana_Atoll_l64.jpg,"(799, 853)",853,799
P_KI_Maiana_Atoll_l8.jpg,"(799, 853)",853,799
P_KI_Marakei_Atoll_l64.jpg,"(271, 392)",392,271
P_KI_Marakei_Atoll_l8.jpg,"(271, 392)",392,271
P_KI_Onotoa_Atoll_l64.jpg,"(513, 724)",724,513
P_KI_Onotoa_Atoll_l8.jpg,"(513, 724)",724,513
P_KI_Orona_Atoll_l64.jpg,"(384, 262)",262,384
P_KI_Orona_Atoll_l8.jpg,"(384, 262)",262,384
P_KI_Tarawa_Atoll_l64.jpg,"(1115, 1261)",1261,1115
P_KI_Tarawa_Atoll_l8.jpg,"(1115, 1261)",1261,1115
P_MH_Ailinginae_Atoll_l64.jpg,"(1367, 700)",700,1367
P_MH_Ailinginae_Atoll_l8.jpg,"(1367, 700)",700,1367
P_MH_Ailinglapalap_Atoll_l64.jpg,"(2039, 1627)",1627,2039
P_MH_Ailinglapalap_Atoll_l8.jpg,"(2039, 1627)",1627,2039
P_MH_Ailuk_Atoll_l64.jpg,"(980, 1343)",1343,980
P_MH_Ailuk_Atoll_l8.jpg,"(980, 1343)",1343,980
P_MH_Arno_Atoll_l64.jpg,"(2019, 1891)",1891,2019
P_MH_Arno_Atoll_l8.jpg,"(2019, 1891)",1891,2019
P_MH_Aur_Atoll_l64.jpg,"(970, 1341)",1341,970
P_MH_Aur_Atoll_l8.jpg,"(970, 1341)",1341,970
P_MH_Bikar_Atoll_l64.jpg,"(521, 607)",607,521
P_MH_Bikar_Atoll_l8.jpg,"(521, 607)",607,521
P_MH_Bikini_Island_l64.jpg,"(1836, 1338)",1338,1836
P_MH_Bikini_Island_l8.jpg,"(1836, 1338)",1338,1836
P_MH_Jaluit_Atoll_l64.jpg,"(1581, 2321)",2321,1581
P_MH_Jaluit_Atoll_l8.jpg,"(1581, 2321)",2321,1581
P_MH_Kwajalein_Atoll_l64.jpg,"(3935, 2969)",2969,3935
P_MH_Kwajalein_Atoll_l8.jpg,"(3935, 2969)",2969,3935
P_MH_Likiep_Atoll_l64.jpg,"(2019, 1647)",1647,2019
P_MH_Likiep_Atoll_l8.jpg,"(2019, 1647)",1647,2019
P_MH_Majuro_Atoll_l64.jpg,"(1759, 950)",950,1759
P_MH_Majuro_Atoll_l8.jpg,"(1759, 950)",950,1759
P_MH_Maloelap_Atoll_l64.jpg,"(2161, 2246)",2246,2161
P_MH_Maloelap_Atoll_l8.jpg,"(2161, 2246)",2246,2161
P_MH_Millie_Atoll_l64.jpg,"(2182, 1885)",1885,2182
P_MH_Millie_Atoll_l8.jpg,"(2182, 1885)",1885,2182
P_MH_Rongelap_Atoll_l64.jpg,"(2039, 1818)",1818,2039
P_MH_Rongelap_Atoll_l8.jpg,"(2039, 1818)",1818,2039
P_MH_Taka_Atoll_l64.jpg,"(755, 690)",690,755
P_MH_Taka_Atoll_l8.jpg,"(755, 690)",690,755
P_MH_Ujelang_Atoll_l64.jpg,"(1081, 884)",884,1081
P_MH_Ujelang_Atoll_l8.jpg,"(1081, 884)",884,1081
P_MH_Utirik_Atoll_l64.jpg,"(694, 749)",749,694
P_MH_Utirik_Atoll_l8.jpg,"(694, 749)",749,694
P_MH_Wotho_Atoll_l64.jpg,"(938, 923)",923,938
P_MH_Wotho_Atoll_l8.jpg,"(938, 923)",923,938
P_MH_Wotje_Atoll_l64.jpg,"(2325, 1156)",1156,2325
P_MH_Wotje_Atoll_l8.jpg,"(2325, 1156)",1156,2325
P_NZ_Fakaofo_Atoll_l64.jpg,"(398, 511)",511,398
P_NZ_Fakaofo_Atoll_l8 (1).jpg,"(398, 511)",511,398
P_NZ_Fakaofo_Atoll_l8.jpg,"(398, 511)",511,398
P_NZ_Nikunonu_Atoll_l64.jpg,"(441, 547)",547,441
P_NZ_Nikunonu_Atoll_l8.jpg,"(441, 547)",547,441
P_PF_Ahe_Atoll_l64.jpg,"(928, 804)",804,928
P_PF_Ahe_Atoll_l8.jpg,"(928, 804)",804,928
P_PF_Amanu_Atoll_l64.jpg,"(1051, 936)",936,1051
P_PF_Amanu_Atoll_l8.jpg,"(1051, 936)",936,1051
P_PF_Apataki_Atoll_l64.jpg,"(1408, 1572)",1572,1408
P_PF_Apataki_Atoll_l8.jpg,"(1408, 1572)",1572,1408
P_PF_Aratika_Atoll_l64.jpg,"(816, 904)",904,816
P_PF_Aratika_Atoll_l8.jpg,"(816, 904)",904,816
P_PF_Arutua_Atoll_l64.jpg,"(1510, 1357)",1357,1510
